feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_04_指数_上证指数,15,93,412,0.0627,93.4012
step_04_个股_最高价,15,81,413,0.0627,93.4639
step_28_指数_上证指数,15,540,414,0.0627,93.5266
step_12_个股_BB_upper,15,238,415,0.0627,93.5893
step_00_个股_BB_upper,15,10,416,0.0627,93.652
step_14_个股_BB_upper,15,269,417,0.0627,93.7147
step_01_个股_BB_middle,15,31,418,0.0627,93.7774
step_02_个股_BB_middle,15,50,419,0.0627,93.8401
step_28_个股_BB_upper,14,535,420,0.0585,93.8986
step_10_指数_沪深300,14,207,421,0.0585,93.9571
step_25_情绪_sentiment_1,14,483,422,0.0585,94.0156
step_02_个股_BB_upper,14,49,423,0.0585,94.0741
step_25_个股_流通市值,14,472,424,0.0585,94.1326
step_06_个股_开盘价,14,121,425,0.0585,94.1911
step_15_指数_沪深300,14,293,426,0.0585,94.2496
step_22_个股_流通市值,14,416,427,0.0585,94.3081
step_14_行业_收盘价,13,270,428,0.0544,94.3625
step_20_指数_上证指数,13,386,429,0.0544,94.4169
step_14_指数_沪深300,13,275,430,0.0544,94.4713
step_09_行业_开盘价,13,182,431,0.0544,94.5257
step_20_指数_深证成指,13,388,432,0.0544,94.5801
step_06_个股_BB_upper,13,129,433,0.0544,94.6345
step_26_指数_中证500,13,501,434,0.0544,94.6889
step_03_指数_中证500,13,77,435,0.0544,94.7433
step_11_个股_最高价,13,212,436,0.0544,94.7977
step_03_指数_上证指数,13,74,437,0.0544,94.8521
step_21_指数_中证500,13,408,438,0.0544,94.9065
step_02_指数_创业板指,13,56,439,0.0544,94.9609
step_16_指数_深证成指,12,311,440,0.0502,95.0111
step_05_行业_开盘价,12,109,441,0.0502,95.0613
step_04_指数_深证成指,12,95,442,0.0502,95.1115
step_01_指数_深证成指,12,37,443,0.0502,95.1617
step_01_指数_上证指数,12,36,444,0.0502,95.2119
step_01_指数_中证500,12,39,445,0.0502,95.2621
step_16_指数_上证指数,12,309,446,0.0502,95.3123
step_16_行业_涨跌幅,12,308,447,0.0502,95.3625
step_24_指数_沪深300,12,463,448,0.0502,95.4127
step_28_行业_开盘价,12,536,449,0.0502,95.4629
step_17_行业_开盘价,12,325,450,0.0502,95.5131
step_14_指数_深证成指,12,276,451,0.0502,95.5633
step_09_个股_BB_upper,12,181,452,0.0502,95.6135
step_18_指数_上证指数,12,352,453,0.0502,95.6637
step_13_指数_创业板指,12,259,454,0.0502,95.7139
step_08_指数_中证500,12,170,455,0.0502,95.7641
step_21_行业_开盘价,12,400,456,0.0502,95.8143
step_09_指数_创业板指,12,188,457,0.0502,95.8645
step_12_指数_中证500,12,244,458,0.0502,95.9147
step_16_指数_中证500,11,313,459,0.046,95.9607
step_08_指数_沪深300,11,168,460,0.046,96.0067
step_06_指数_沪深300,11,134,461,0.046,96.0527
step_27_行业_收盘价,11,515,462,0.046,96.0987
step_03_指数_创业板指,11,76,463,0.046,96.1447
step_07_指数_上证指数,11,151,464,0.046,96.1907
step_21_行业_收盘价,11,401,465,0.046,96.2367
step_11_指数_深证成指,11,226,466,0.046,96.2827
step_09_个股_最高价,11,173,467,0.046,96.3287
step_29_指数_创业板指,11,564,468,0.046,96.3747
step_05_指数_创业板指,11,117,469,0.046,96.4207
step_28_指数_沪深300,11,541,470,0.046,96.4667
step_21_指数_沪深300,11,405,471,0.046,96.5127
step_13_行业_开盘价,11,253,472,0.046,96.5587
step_23_行业_最低价,11,441,473,0.046,96.6047
step_19_指数_创业板指,10,370,474,0.0418,96.6465
step_12_行业_成交量,10,240,475,0.0418,96.6883
step_06_指数_深证成指,10,135,476,0.0418,96.7301
step_06_行业_最低价,10,131,477,0.0418,96.7719
step_17_指数_中证500,10,333,478,0.0418,96.8137
step_25_指数_创业板指,10,481,479,0.0418,96.8555
step_17_指数_创业板指,10,332,480,0.0418,96.8973
step_20_行业_开盘价,10,382,481,0.0418,96.9391
step_11_指数_沪深300,10,225,482,0.0418,96.9809
step_24_行业_收盘价,10,459,483,0.0418,97.0227
step_04_个股_收盘价,10,80,484,0.0418,97.0645
step_02_行业_最高价,10,52,485,0.0418,97.1063
step_03_指数_深证成指,10,75,486,0.0418,97.1481
step_19_行业_收盘价,10,364,487,0.0418,97.1899
step_27_指数_中证500,10,522,488,0.0418,97.2317
step_28_指数_创业板指,9,543,489,0.0376,97.2693
step_05_指数_深证成指,9,116,490,0.0376,97.3069
step_05_行业_收盘价,9,110,491,0.0376,97.3445
step_22_指数_沪深300,9,425,492,0.0376,97.3821
step_10_指数_上证指数,9,206,493,0.0376,97.4197
step_05_个股_收盘价,9,99,494,0.0376,97.4573
step_10_个股_最高价,9,193,495,0.0376,97.4949
step_03_行业_开盘价,9,69,496,0.0376,97.5325
step_15_行业_开盘价,9,288,497,0.0376,97.5701
step_17_指数_上证指数,9,329,498,0.0376,97.6077
step_29_行业_开盘价,9,557,499,0.0376,97.6453
step_26_指数_上证指数,9,499,500,0.0376,97.6829
step_00_指数_中证500,9,19,501,0.0376,97.7205
step_16_指数_沪深300,9,310,502,0.0376,97.7581
step_23_行业_开盘价,9,439,503,0.0376,97.7957
step_19_指数_沪深300,9,369,504,0.0376,97.8333
step_19_指数_上证指数,9,368,505,0.0376,97.8709
step_20_指数_沪深300,9,387,506,0.0376,97.9085
step_00_行业_开盘价,9,11,507,0.0376,97.9461
step_12_指数_上证指数,9,242,508,0.0376,97.9837
step_07_指数_深证成指,8,153,509,0.0335,98.0172
step_13_指数_上证指数,8,257,510,0.0335,98.0507
step_04_指数_中证500,8,96,511,0.0335,98.0842
step_07_指数_中证500,8,155,512,0.0335,98.1177
step_12_指数_沪深300,8,243,513,0.0335,98.1512
step_11_指数_上证指数,8,224,514,0.0335,98.1847
step_01_行业_开盘价,8,32,515,0.0335,98.2182
step_09_指数_中证500,8,189,516,0.0335,98.2517
step_26_指数_沪深300,8,500,517,0.0335,98.2852
step_18_指数_创业板指,8,355,518,0.0335,98.3187
step_02_行业_开盘价,8,51,519,0.0335,98.3522
step_27_行业_最高价,8,516,520,0.0335,98.3857
step_19_行业_最高价,8,365,521,0.0335,98.4192
step_27_行业_开盘价,8,514,522,0.0335,98.4527
step_22_指数_深证成指,8,426,523,0.0335,98.4862
step_06_个股_收盘价,8,122,524,0.0335,98.5197
step_22_指数_中证500,8,428,525,0.0335,98.5532
step_18_指数_深证成指,7,354,526,0.0293,98.5825
step_05_指数_中证500,7,118,527,0.0293,98.6118
step_17_指数_深证成指,7,331,528,0.0293,98.6411
step_11_指数_创业板指,7,227,529,0.0293,98.6704
step_21_指数_上证指数,7,404,530,0.0293,98.6997
step_26_行业_收盘价,7,495,531,0.0293,98.729
step_15_行业_最高价,7,290,532,0.0293,98.7583
step_18_行业_最低价,7,349,533,0.0293,98.7876
step_24_指数_创业板指,7,465,534,0.0293,98.8169
step_12_行业_开盘价,7,239,535,0.0293,98.8462
step_23_指数_沪深300,7,445,536,0.0293,98.8755
step_11_行业_最高价,7,221,537,0.0293,98.9048
step_29_行业_最高价,7,559,538,0.0293,98.9341
step_22_行业_开盘价,7,420,539,0.0293,98.9634
step_15_行业_收盘价,7,289,540,0.0293,98.9927
step_22_行业_最高价,7,421,541,0.0293,99.022
step_06_指数_中证500,7,137,542,0.0293,99.0513
step_18_指数_沪深300,7,353,543,0.0293,99.0806
step_25_指数_上证指数,7,478,544,0.0293,99.1099
step_20_指数_中证500,7,389,545,0.0293,99.1392
step_21_指数_创业板指,7,407,546,0.0293,99.1685
step_21_指数_深证成指,6,406,547,0.0251,99.1936
step_18_行业_最高价,6,348,548,0.0251,99.2187
step_03_行业_收盘价,6,70,549,0.0251,99.2438
step_27_行业_最低价,6,517,550,0.0251,99.2689
step_08_个股_BB_upper,6,164,551,0.0251,99.294
step_16_行业_开盘价,6,306,552,0.0251,99.3191
step_09_指数_上证指数,6,186,553,0.0251,99.3442
step_05_行业_最高价,6,111,554,0.0251,99.3693
step_17_指数_沪深300,6,330,555,0.0251,99.3944
step_06_指数_创业板指,6,136,556,0.0251,99.4195
step_13_行业_最高价,6,254,557,0.0251,99.4446
step_28_行业_最低价,6,537,558,0.0251,99.4697
step_17_行业_最低价,5,326,559,0.0209,99.4906
step_06_行业_收盘价,5,130,560,0.0209,99.5115
step_18_行业_开盘价,5,346,561,0.0209,99.5324
step_23_指数_中证500,5,446,562,0.0209,99.5533
step_23_指数_上证指数,5,444,563,0.0209,99.5742
step_23_行业_收盘价,5,440,564,0.0209,99.5951
step_25_指数_沪深300,5,479,565,0.0209,99.616
step_25_指数_深证成指,5,480,566,0.0209,99.6369
step_27_指数_创业板指,5,521,567,0.0209,99.6578
step_10_行业_开盘价,5,201,568,0.0209,99.6787
step_10_行业_最高价,5,202,569,0.0209,99.6996
