股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600365,ST通葡,2001-01-15,正常交易,
sh600366,宁波韵升,2000-10-30,正常交易,
sh600367,红星发展,2001-03-20,正常交易,
sh600368,五洲交通,2000-12-21,正常交易,
sh600369,西南证券,2001-01-09,正常交易,
sh600370,三房巷,2003-03-06,正常交易,
sh600371,万向德农,2002-09-16,正常交易,
sh600372,中航机载,2001-07-06,正常交易,
sh600373,中文传媒,2002-03-04,正常交易,
sh600375,汉马科技,2003-04-01,正常交易,
sh600376,首开股份,2001-03-12,正常交易,
sh600377,宁沪高速,2001-01-16,正常交易,
sh600378,昊华科技,2001-01-11,正常交易,
sh600379,宝光股份,2002-01-16,正常交易,
sh600380,健康元,2001-06-08,正常交易,
sh600381,*ST春天,2001-05-08,正常交易,
sh600382,广东明珠,2001-01-18,正常交易,
sh600383,金地集团,2001-04-12,正常交易,
sh600386,北巴传媒,2001-02-16,正常交易,
sh600388,龙净环保,2000-12-29,正常交易,
sh600389,江山股份,2001-01-10,正常交易,
sh600390,五矿资本,2001-01-15,正常交易,
sh600391,航发科技,2001-12-12,正常交易,
sh600392,盛和资源,2003-05-29,正常交易,
sh600395,盘江股份,2001-05-31,正常交易,
sh600396,华电辽能,2001-03-28,正常交易,
sh600397,安源煤业,2002-07-02,正常交易,
sh600398,海澜之家,2000-12-28,正常交易,
sh600399,抚顺特钢,2000-12-29,正常交易,
sh600400,红豆股份,2001-01-08,正常交易,
sh600403,大有能源,2003-10-09,正常交易,
sh600405,动力源,2004-04-01,正常交易,
sh600406,国电南瑞,2003-10-16,正常交易,
sh600408,安泰集团,2003-02-12,正常交易,
sh600409,三友化工,2003-06-18,正常交易,
sh600410,华胜天成,2004-04-27,正常交易,
sh600415,小商品城,2002-05-09,正常交易,
sh600416,湘电股份,2002-07-18,正常交易,
sh600418,江淮汽车,2001-08-24,正常交易,
sh600419,天润乳业,2001-06-28,正常交易,
sh600420,国药现代,2004-06-16,正常交易,
sh600421,*ST华嵘,2004-06-07,正常交易,
sh600422,昆药集团,2000-12-06,正常交易,
sh600423,柳化股份,2003-07-17,正常交易,
sh600425,青松建化,2003-07-24,正常交易,
sh600426,华鲁恒升,2002-06-20,正常交易,
sh600428,中远海特,2002-04-18,正常交易,
sh600429,三元股份,2003-09-15,正常交易,
sh600433,冠豪高新,2003-06-19,正常交易,
sh600435,北方导航,2003-07-04,正常交易,
sh600436,片仔癀,2003-06-16,正常交易,
sh600438,通威股份,2004-03-02,正常交易,
sh600439,瑞贝卡,2003-07-10,正常交易,
sh600444,国机通用,2004-02-19,正常交易,
sh600446,金证股份,2003-12-24,正常交易,
sh600448,华纺股份,2001-09-03,正常交易,
sh600449,宁夏建材,2003-08-29,正常交易,
