股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sz000981,山子高科,2000-06-22,正常交易,
sz000983,山西焦煤,2000-07-26,正常交易,
sz000985,大庆华科,2000-07-26,正常交易,
sz000987,越秀资本,2000-07-18,正常交易,
sz000988,华工科技,2000-06-08,正常交易,
sz000989,九芝堂,2000-06-28,正常交易,
sz000990,诚志股份,2000-07-06,正常交易,
sz000993,闽东电力,2000-07-31,正常交易,
sz000995,皇台酒业,2000-08-07,正常交易,
sz000997,新 大 陆,2000-08-07,正常交易,
sz000998,隆平高科,2000-12-11,正常交易,
sz000999,华润三九,2000-03-09,正常交易,
sz001201,东瑞股份,2021-04-28,正常交易,
sz001202,炬申股份,2021-04-29,正常交易,
sz001203,大中矿业,2021-05-10,正常交易,
sz001205,盛航股份,2021-05-13,正常交易,
sz001206,依依股份,2021-05-18,正常交易,
sz001207,联科科技,2021-06-23,正常交易,
sz001208,华菱线缆,2021-06-24,正常交易,
sz001209,洪兴股份,2021-07-23,正常交易,
sz001210,金房能源,2021-07-29,正常交易,
sz001211,双枪科技,2021-08-05,正常交易,
sz001212,中旗新材,2021-08-23,正常交易,
sz001213,中铁特货,2021-09-08,正常交易,
sz001215,千味央厨,2021-09-06,正常交易,
sz001216,华瓷股份,2021-10-19,正常交易,
sz001217,华尔泰,2021-09-29,正常交易,
sz001218,丽臣实业,2021-10-15,正常交易,
sz001219,青岛食品,2021-10-21,正常交易,
sz001221,悍高集团,2025-07-30,正常交易,
sz001222,源飞宠物,2022-08-18,正常交易,
sz001223,欧克科技,2022-12-12,正常交易,
sz001225,和泰机电,2023-02-22,正常交易,
sz001226,拓山重工,2022-06-22,正常交易,
sz001227,兰州银行,2022-01-17,正常交易,
sz001228,永泰运,2022-04-29,正常交易,
sz001229,魅视科技,2022-08-08,正常交易,
sz001230,劲旅环境,2022-07-15,正常交易,
sz001231,农心科技,2022-08-19,正常交易,
sz001234,泰慕士,2022-01-11,正常交易,
sz001236,弘业期货,2022-08-05,正常交易,
sz001238,浙江正特,2022-09-19,正常交易,
sz001239,永达股份,2023-12-12,正常交易,
sz001255,博菲电气,2022-09-30,正常交易,
sz001256,炜冈科技,2022-12-05,正常交易,
sz001258,立新能源,2022-07-27,正常交易,
sz001259,利仁科技,2022-08-31,正常交易,
sz001260,坤泰股份,2023-02-16,正常交易,
sz001266,宏英智能,2022-02-28,正常交易,
sz001267,汇绿生态,2021-11-17,正常交易,
sz001268,联合精密,2022-06-30,正常交易,
sz001269,欧晶科技,2022-09-30,正常交易,
sz001270,*ST铖昌,2022-06-06,正常交易,
sz001277,速达股份,2024-09-03,正常交易,
sz001278,一彬科技,2023-03-08,正常交易,
sz001279,强邦新材,2024-10-11,正常交易,
sz001282,三联锻造,2023-05-24,正常交易,
sz001283,豪鹏科技,2022-09-05,正常交易,
sz001286,陕西能源,2023-04-10,正常交易,
sz001287,中电港,2023-04-10,正常交易,
sz001288,运机集团,2021-11-01,正常交易,
sz001289,龙源电力,2022-01-24,正常交易,
sz001296,长江材料,2021-12-24,正常交易,
sz001298,好上好,2022-10-31,正常交易,
sz001299,美能能源,2022-10-31,正常交易,
sz001300,三柏硕,2022-10-19,正常交易,
sz001301,尚太科技,2022-12-28,正常交易,
sz001306,夏厦精密,2023-11-16,正常交易,
sz001308,康冠科技,2022-03-18,正常交易,
sz001309,德明利,2022-07-01,正常交易,
sz001311,多利科技,2023-02-27,正常交易,
sz001313,粤海饲料,2022-02-16,正常交易,
sz001314,亿道信息,2023-02-14,正常交易,
sz001316,润贝航科,2022-06-24,正常交易,
sz001317,三羊马,2021-11-30,正常交易,
sz001318,阳光乳业,2022-05-20,正常交易,
sz001319,铭科精技,2022-05-12,正常交易,
sz001322,箭牌家居,2022-10-26,正常交易,
sz001323,慕思股份,2022-06-23,正常交易,
sz001324,长青科技,2023-05-22,正常交易,
sz001326,联域股份,2023-11-09,正常交易,
sz001328,登康口腔,2023-04-10,正常交易,
sz001330,博纳影业,2022-08-18,正常交易,
sz001331,胜通能源,2022-09-08,正常交易,
sz001332,锡装股份,2022-09-20,正常交易,
sz001333,光华股份,2022-12-08,正常交易,
sz001335,信凯科技,2025-04-15,正常交易,
sz001336,楚环科技,2022-07-25,正常交易,
sz001337,四川黄金,2023-03-03,正常交易,
sz001338,永顺泰,2022-11-16,正常交易,
sz001339,智微智能,2022-08-15,正常交易,
sz001356,富岭股份,2025-01-23,正常交易,
sz001358,兴欣新材,2023-12-21,正常交易,
sz001359,平安电工,2024-03-28,正常交易,
sz001360,南矿集团,2023-04-10,正常交易,
sz001366,播恩集团,2023-03-07,正常交易,
sz001367,海森药业,2023-04-10,正常交易,
sz001368,通达创智,2023-03-13,正常交易,
sz001373,翔腾新材,2023-06-01,正常交易,
sz001376,百通能源,2023-11-03,正常交易,
sz001378,德冠新材,2023-10-30,正常交易,
sz001379,腾达科技,2024-01-19,正常交易,
sz001380,华纬科技,2023-05-16,正常交易,
sz001382,新亚电缆,2025-03-21,正常交易,
sz001387,雪祺电气,2024-01-11,正常交易,
sz001388,信通电子,2025-07-01,正常交易,
sz001389,广合科技,2024-04-02,正常交易,
sz001390,古麒绒材,2025-05-29,正常交易,
sz001391,国货航,2024-12-30,正常交易,
sz001395,亚联机械,2025-01-27,正常交易,
sz001400,江顺科技,2025-04-24,正常交易,
sz001696,宗申动力,1997-03-06,正常交易,
sz001872,招商港口,1993-05-05,正常交易,
sz001896,豫能控股,1998-01-22,正常交易,
sz001914,招商积余,1994-09-28,正常交易,
sz001965,招商公路,2017-12-25,正常交易,
sz001979,招商蛇口,2015-12-30,正常交易,
sz002001,新 和 成,2004-06-25,正常交易,
sz002003,伟星股份,2004-06-25,正常交易,
sz002004,华邦健康,2004-06-25,正常交易,
sz002005,ST德豪,2004-06-25,正常交易,
sz002006,精工科技,2004-06-25,正常交易,
sz002007,华兰生物,2004-06-25,正常交易,
sz002008,大族激光,2004-06-25,正常交易,
sz002009,天奇股份,2004-06-29,正常交易,
sz002010,传化智联,2004-06-29,正常交易,
sz002011,盾安环境,2004-07-05,正常交易,
sz002012,凯恩股份,2004-07-05,正常交易,
sz002014,永新股份,2004-07-08,正常交易,
sz002015,协鑫能科,2004-07-08,正常交易,
sz002016,世荣兆业,2004-07-08,正常交易,
sz002017,东信和平,2004-07-13,正常交易,
sz002019,亿帆医药,2004-07-13,正常交易,
sz002020,京新药业,2004-07-15,正常交易,
sz002021,中捷资源,2004-07-15,正常交易,
sz002022,科华生物,2004-07-21,正常交易,
sz002023,海特高新,2004-07-21,正常交易,
sz002024,ST易购,2004-07-21,正常交易,
sz002025,航天电器,2004-07-26,正常交易,
sz002026,山东威达,2004-07-27,正常交易,
sz002027,分众传媒,2004-08-04,正常交易,
sz002028,思源电气,2004-08-05,正常交易,
sz002029,七 匹 狼,2004-08-06,正常交易,
sz002030,达安基因,2004-08-09,正常交易,
sz002031,巨轮智能,2004-08-16,正常交易,
sz002032,苏 泊 尔,2004-08-17,正常交易,
sz002033,丽江股份,2004-08-25,正常交易,
sz002034,旺能环境,2004-08-26,正常交易,
sz002035,华帝股份,2004-09-01,正常交易,
sz002036,联创电子,2004-09-03,正常交易,
sz002037,保利联合,2004-09-08,正常交易,
sz002038,双鹭药业,2004-09-09,正常交易,
sz002039,黔源电力,2005-03-03,正常交易,
sz002040,南 京 港,2005-03-25,正常交易,
sz002041,登海种业,2005-04-18,正常交易,
sz002042,华孚时尚,2005-04-27,正常交易,
sz002043,兔 宝 宝,2005-05-10,正常交易,
sz002044,美年健康,2005-05-18,正常交易,
sz002045,国光电器,2005-05-23,正常交易,
sz002046,国机精工,2005-05-26,正常交易,
sz002047,*ST宝鹰,2005-05-31,正常交易,
sz002048,宁波华翔,2005-06-03,正常交易,
sz002049,紫光国微,2005-06-06,正常交易,
sz002050,三花智控,2005-06-07,正常交易,
sz002051,中工国际,2006-06-19,正常交易,
sz002052,同洲电子,2006-06-27,正常交易,
sz002053,云南能投,2006-06-27,正常交易,
sz002054,德美化工,2006-07-25,正常交易,
sz002055,得润电子,2006-07-25,正常交易,
sz002056,横店东磁,2006-08-02,正常交易,
sz002057,中钢天源,2006-08-02,正常交易,
sz002058,*ST威尔,2006-08-02,正常交易,
sz002059,云南旅游,2006-08-10,正常交易,
