股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600462,退市九有,2003-09-03,终止上市,2025-07-21
sh600463,空港股份,2004-03-18,正常交易,
sh600466,*ST蓝光,2001-02-12,终止上市,2023-06-06
sh600467,好当家,2004-04-05,正常交易,
sh600468,百利电气,2001-06-15,正常交易,
sh600469,风神股份,2003-10-21,正常交易,
sh600470,六国化工,2004-03-05,正常交易,
sh600472,包头铝业,2005-05-09,终止上市,2007-12-26
sh600475,华光环能,2003-07-21,正常交易,
sh600476,湘邮科技,2003-12-10,正常交易,
sh600477,杭萧钢构,2003-11-10,正常交易,
sh600478,科力远,2003-09-18,正常交易,
sh600479,千金药业,2004-03-12,正常交易,
sh600480,凌云股份,2003-08-15,正常交易,
sh600481,双良节能,2003-04-22,正常交易,
sh600482,中国动力,2004-07-14,正常交易,
sh600483,福能股份,2004-05-31,正常交易,
sh600485,*ST信威,2003-08-07,终止上市,2021-06-01
sh600486,扬农化工,2002-04-25,正常交易,
sh600487,亨通光电,2003-08-22,正常交易,
sh600488,津药药业,2001-06-18,正常交易,
sh600489,中金黄金,2003-08-14,正常交易,
sh600490,鹏欣资源,2003-06-26,正常交易,
sh600491,龙元建设,2004-05-24,正常交易,
sh600493,凤竹纺织,2004-04-21,正常交易,
sh600495,晋西车轴,2004-05-26,正常交易,
sh600496,精工钢构,2002-06-05,正常交易,
sh600497,驰宏锌锗,2004-04-20,正常交易,
sh600498,烽火通信,2001-08-23,正常交易,
sh600499,科达制造,2002-10-10,正常交易,
sh600500,中化国际,2000-03-01,正常交易,
sh600501,航天晨光,2001-06-15,正常交易,
sh600502,安徽建工,2003-04-15,正常交易,
sh600503,华丽家族,2002-07-09,正常交易,
sh600505,西昌电力,2002-05-30,正常交易,
sh600506,统一股份,2001-12-26,正常交易,
sh600507,方大特钢,2003-09-30,正常交易,
sh600508,上海能源,2001-08-29,正常交易,
sh600509,天富能源,2002-02-28,正常交易,
sh600510,黑牡丹,2002-06-18,正常交易,
sh600511,国药股份,2002-11-27,正常交易,
sh600512,腾达建设,2002-12-26,正常交易,
sh600513,联环药业,2003-03-19,正常交易,
sh600515,海南机场,2002-08-06,正常交易,
sh600516,方大炭素,2002-08-30,正常交易,
sh600517,国网英大,2003-10-10,正常交易,
sh600518,康美药业,2001-03-19,正常交易,
sh600519,贵州茅台,2001-08-27,正常交易,
sh600520,三佳科技,2002-01-08,正常交易,
sh600521,华海药业,2003-03-04,正常交易,
sh600522,中天科技,2002-10-24,正常交易,
sh600523,贵航股份,2001-12-27,正常交易,
sh600525,ST长园,2002-12-02,正常交易,
sh600526,菲达环保,2002-07-22,正常交易,
sh600527,江南高纤,2003-11-27,正常交易,
sh600528,中铁工业,2001-05-28,正常交易,
sh600529,山东药玻,2002-06-03,正常交易,
sh600530,交大昂立,2001-07-02,正常交易,
sh600531,豫光金铅,2002-07-30,正常交易,
sh600532,退市未来,2002-10-31,终止上市,2023-06-28
sh600533,栖霞建设,2002-03-28,正常交易,
sh600535,天士力,2002-08-23,正常交易,
sh600536,中国软件,2002-05-17,正常交易,
sh600537,亿晶光电,2003-01-23,正常交易,
sh600538,国发股份,2003-01-14,正常交易,
sh600539,狮头股份,2001-08-24,正常交易,
sh600540,新赛股份,2004-01-07,正常交易,
sh600543,莫高股份,2004-03-24,正常交易,
sh600545,卓郎智能,2003-12-03,正常交易,
sh600546,山煤国际,2003-07-31,正常交易,
sh600547,山东黄金,2003-08-28,正常交易,
sh600548,深高速,2001-12-25,正常交易,
sh600549,厦门钨业,2002-11-07,正常交易,
sh600550,保变电气,2001-02-28,正常交易,
sh600551,时代出版,2002-09-05,正常交易,
sh600552,凯盛科技,2002-11-08,正常交易,
sh600553,太行水泥,2002-08-22,终止上市,2011-02-18
sh600555,退市海创,1999-01-18,终止上市,2022-07-14
sh600556,天下秀,2001-08-07,正常交易,
sh600557,康缘药业,2002-09-18,正常交易,
sh600558,大西洋,2001-02-27,正常交易,
sh600559,老白干酒,2002-10-29,正常交易,
sh600560,金自天正,2002-09-19,正常交易,
sh600561,江西长运,2002-07-16,正常交易,
sh600562,国睿科技,2003-01-28,正常交易,
sh600563,法拉电子,2002-12-10,正常交易,
sh600565,ST迪马,2002-07-23,终止上市,2024-08-07
sh600566,济川药业,2001-08-22,正常交易,
sh600567,山鹰国际,2001-12-18,正常交易,
sh600568,ST中珠,2001-05-18,正常交易,
sh600569,安阳钢铁,2001-08-20,正常交易,
sh600570,恒生电子,2003-12-16,正常交易,
sh600571,信雅达,2002-11-01,正常交易,
sh600572,康恩贝,2004-04-12,正常交易,
sh600573,惠泉啤酒,2003-02-26,正常交易,
sh600575,淮河能源,2003-03-28,正常交易,
sh600576,祥源文旅,2003-02-20,正常交易,
sh600577,精达股份,2002-09-11,正常交易,
sh600578,京能电力,2002-05-10,正常交易,
sh600579,中化装备,2002-08-09,正常交易,
sh600580,卧龙电驱,2002-06-06,正常交易,
sh600581,八一钢铁,2002-08-16,正常交易,
sh600582,天地科技,2002-05-15,正常交易,
sh600583,海油工程,2002-02-05,正常交易,
sh600584,长电科技,2003-06-03,正常交易,
sh600585,海螺水泥,2002-02-07,正常交易,
sh600586,金晶科技,2002-08-15,正常交易,
sh600587,新华医疗,2002-09-27,正常交易,
sh600588,用友网络,2001-05-18,正常交易,
sh600589,大位科技,2001-06-12,正常交易,
sh600590,泰豪科技,2002-07-03,正常交易,
sh600591,*ST上航,2002-10-11,终止上市,2010-01-25
sh600592,龙溪股份,2002-08-05,正常交易,
sh600593,大连圣亚,2002-07-11,正常交易,
sh600594,益佰制药,2004-03-23,正常交易,
sh600595,中孚实业,2002-06-26,正常交易,
sh600596,新安股份,2001-09-06,正常交易,
sh600597,光明乳业,2002-08-28,正常交易,
sh600598,北大荒,2002-03-29,正常交易,
sh600599,*ST熊猫,2001-08-28,正常交易,
sh600600,青岛啤酒,1993-08-27,正常交易,
sh600601,方正科技,1990-12-19,正常交易,
sh600602,云赛智联,1990-12-19,正常交易,
sh600603,ST广物,1992-01-13,正常交易,
sh600604,市北高新,1992-03-27,正常交易,
sh600605,汇通能源,1992-03-27,正常交易,
sh600606,绿地控股,1992-03-27,正常交易,
sh600607,上实医药,1992-03-27,终止上市,2010-02-12
sh600608,*ST沪科,1992-03-27,正常交易,
sh600609,金杯汽车,1992-07-24,正常交易,
sh600610,中毅达,1992-08-05,正常交易,
sh600611,大众交通,1992-08-07,正常交易,
sh600612,老凤祥,1992-08-14,正常交易,
sh600613,神奇制药,1992-08-20,正常交易,
sh600614,退市鹏起,1992-07-28,终止上市,2021-07-22
sh600615,丰华股份,1992-09-10,正常交易,
sh600616,金枫酒业,1992-09-29,正常交易,
sh600617,国新能源,1992-10-13,正常交易,
sh600618,氯碱化工,1992-11-13,正常交易,
sh600619,海立股份,1992-11-16,正常交易,
sh600620,天宸股份,1992-11-17,正常交易,
sh600621,华鑫股份,1992-12-02,正常交易,
sh600622,光大嘉宝,1992-12-03,正常交易,
sh600623,华谊集团,1992-12-04,正常交易,
sh600624,复旦复华,1993-01-05,正常交易,
sh600625,PT水  仙,1993-01-06,终止上市,2001-04-25
sh600626,申达股份,1993-01-07,正常交易,
sh600627,上电股份,1993-01-18,终止上市,2008-11-26
sh600628,新世界,1993-01-19,正常交易,
sh600629,华建集团,1993-02-09,正常交易,
sh600630,龙头股份,1993-02-09,正常交易,
sh600631,百联股份,1993-02-19,终止上市,2011-08-23
sh600632,华联商厦,1993-02-19,终止上市,2004-11-18
sh600633,浙数文化,1993-03-04,正常交易,
sh600634,退市富控,1993-03-04,终止上市,2021-07-22
sh600635,大众公用,1993-03-04,正常交易,
sh600636,*ST国化,1993-03-16,正常交易,
sh600637,东方明珠,1993-03-16,正常交易,
sh600638,新黄浦,1993-03-26,正常交易,
sh600639,浦东金桥,1993-03-26,正常交易,
sh600640,国脉文化,1993-04-07,正常交易,
sh600641,万业企业,1993-04-07,正常交易,
sh600642,申能股份,1993-04-16,正常交易,
sh600643,爱建集团,1993-04-26,正常交易,
sh600644,乐山电力,1993-04-26,正常交易,
sh600645,中源协和,1993-05-04,正常交易,
sh600646,ST国  嘉,1993-05-04,终止上市,2003-09-23
