stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600116,三峡水利,电力行业,节能环保,"节能环保,参股银行,成渝特区,预亏预减,太阳能,西部大开发,融资融券,央国企改革,上证380,沪股通,标准普尔,绿色电力,2025中报预减",重庆
sh600117,西宁特钢,钢铁行业,军工,"军工,煤化工,参股银行,机构重仓,预盈预增,西部大开发,沪股通,雅下水电概念",青海
sh600118,中国卫星,航天航空,军工,"军工,中字头,预亏预减,融资融券,北斗导航,央国企改革,中证500,无人机,上证380,沪股通,一带一路,军民融合,大飞机,MSCI中国,富时罗素,标准普尔,国产芯片,卫星互联网,商业航天,空间站概念,时空大数据,中特估,低空经济",北京
sh600119,长江投资,物流行业,预盈预增,"预盈预增,长江三角,上海自贸,沪企改革,央国企改革,一带一路,快递概念,统一大市场",上海
sh600120,浙江东方,多元金融,创投,"创投,参股券商,参股期货,预盈预增,长江三角,融资融券,参股新三板,参股保险,央国企改革,IPO受益,上证380,沪股通,量子科技,证金持股,富时罗素,标准普尔,中芯概念,2025中报预增",浙江
sh600121,郑州煤电,煤炭行业,参股券商,"参股券商,稀缺资源,预亏预减,融资融券,央国企改革,沪股通",河南
sh600123,兰花科创,煤炭行业,煤化工,"煤化工,稀缺资源,新材料,预亏预减,融资融券,央国企改革,上证380,沪股通,标准普尔,破净股,2025中报预减",山西
sh600125,铁龙物流,物流行业,铁路基建,"铁路基建,融资融券,央国企改革,沪股通,一带一路,养老金,东北振兴,冷链物流,富时罗素,标准普尔,碳交易,快递概念,中俄贸易概念",辽宁
sh600126,杭钢股份,钢铁行业,节能环保,"节能环保,预亏预减,云计算,长江三角,融资融券,土地流转,央国企改革,阿里概念,中证500,沪股通,MSCI中国,数据中心,汽车拆解,国资云概念,DeepSeek概念",浙江
sh600127,金健米业,农牧饲渔,预盈预增,"预盈预增,融资融券,电商概念,央国企改革,沪股通,新零售,乳业,预制菜概念,粮食概念,2025中报扭亏",湖南
sh600128,苏豪弘业,贸易行业,创投,"创投,参股期货,黄金概念,长江三角,央国企改革,内贸流通,跨境电商,微盘股",江苏
sh600129,太极集团,中药,成渝特区,"成渝特区,预亏预减,西部大开发,融资融券,中药概念,土地流转,养老概念,病毒防治,央国企改革,阿里概念,上证380,沪股通,人工智能,百度概念,医疗美容,流感,2025中报预减",重庆
sh600130,*ST波导,消费电子,ST股,"ST股,机构重仓,预亏预减,长江三角,北斗导航",浙江
sh600131,国网信通,互联网服务,成渝特区,"成渝特区,智能电网,西部大开发,融资融券,央国企改革,国产软件,中证500,上证380,沪股通,数字孪生,富时罗素,UWB概念,数据中心,虚拟电厂,储能,中特估",四川
sh600132,重庆啤酒,酿酒行业,成渝特区,"成渝特区,机构重仓,西部大开发,融资融券,中证500,上证380,沪股通,MSCI中国,富时罗素,标准普尔,啤酒概念",重庆
sh600133,东湖高新,工程建设,节能环保,"节能环保,创投,参股银行,融资融券,参股新三板,央国企改革,沪股通,PPP模式,雄安新区,湖北自贸,REITs概念",湖北
sh600135,乐凯胶片,塑料制品,预亏预减,"预亏预减,锂电池,太阳能,融资融券,参股保险,医疗器械概念,央国企改革,京津冀,雄安新区",河北
sh600136,ST明诚,文化传媒,ST股,"ST股,参股券商,预盈预增,央国企改革,影视概念,标准普尔,低价股,2025中报扭亏",湖北
sh600137,浪莎股份,纺织服装,西部大开发,"西部大开发,微盘股",四川
sh600138,中青旅,旅游酒店,中字头,"中字头,融资融券,参股新三板,电商概念,彩票概念,央国企改革,旅游概念,沪股通,富时罗素,标准普尔,冰雪经济",北京
sh600141,兴发集团,化肥行业,化工原料,"化工原料,稀缺资源,参股银行,转债标的,融资融券,央国企改革,氟化工,中证500,上证380,沪股通,MSCI中国,氢能源,富时罗素,标准普尔,消毒剂,半导体概念,湖北自贸,中芯概念,草甘膦,有机硅,磷化工",湖北
sh600143,金发科技,塑料制品,新材料,"新材料,预盈预增,锂电池,太阳能,融资融券,参股保险,特斯拉,医疗器械概念,中证500,沪股通,5G概念,氢能源,富时罗素,垃圾分类,降解塑料,固态电池,储能,机器人概念,PEEK材料概念,碳纤维,合成生物,2025中报预增",广东
sh600148,长春一东,汽车零部件,军工,"军工,机构重仓,预盈预增,央国企改革,无人机,一带一路,东北振兴,2025中报预增",吉林
sh600149,廊坊发展,电力行业,预盈预增,"预盈预增,土地流转,央国企改革,京津冀,股权转让,雄安新区,微盘股,2025中报预增",河北
sh600150,中国船舶,船舶制造,军工,"军工,HS300_,中字头,预盈预增,风能,融资融券,海工装备,上证50_,上证180_,海洋经济,央国企改革,IPO受益,沪股通,一带一路,航母概念,军民融合,MSCI中国,中特估,并购重组概念,2025中报预增",上海
sh600151,航天机电,光伏设备,军工,"军工,新能源,预亏预减,锂电池,太阳能,长江三角,融资融券,央国企改革,IPO受益,沪股通,军民融合,HIT电池",上海
